date;Germany;US;Sweden;Italy;Brazil
2020-01-22;0;1;0;0;0
2020-01-23;0;1;0;0;0
2020-01-24;0;2;0;0;0
2020-01-25;0;2;0;0;0
2020-01-26;0;5;0;0;0
2020-01-27;1;5;0;0;0
2020-01-28;4;5;0;0;0
2020-01-29;4;6;0;0;0
2020-01-30;4;6;0;0;0
2020-01-31;5;8;0;2;0
2020-02-01;8;8;1;2;0
2020-02-02;10;8;1;2;0
2020-02-03;12;11;1;2;0
2020-02-04;12;11;1;2;0
2020-02-05;12;11;1;2;0
2020-02-06;12;12;1;2;0
2020-02-07;13;12;1;3;0
2020-02-08;13;12;1;3;0
2020-02-09;14;12;1;3;0
2020-02-10;14;12;1;3;0
2020-02-11;16;13;1;3;0
2020-02-12;16;13;1;3;0
2020-02-13;16;14;1;3;0
2020-02-14;16;14;1;3;0
2020-02-15;16;14;1;3;0
2020-02-16;16;14;1;3;0
2020-02-17;16;14;1;3;0
2020-02-18;16;14;1;3;0
2020-02-19;16;14;1;3;0
2020-02-20;16;14;1;3;0
2020-02-21;16;16;1;20;0
2020-02-22;16;16;1;62;0
2020-02-23;16;16;1;155;0
2020-02-24;16;16;1;229;0
2020-02-25;16;16;1;322;0
2020-02-26;21;16;2;453;1
2020-02-27;26;17;3;655;1
2020-02-28;53;17;11;888;1
2020-02-29;66;25;14;1128;2
2020-03-01;117;32;14;1694;2
2020-03-02;150;55;19;2036;2
2020-03-03;188;74;32;2502;2
2020-03-04;240;107;62;3089;4
2020-03-05;349;184;87;3858;4
2020-03-06;534;237;146;4636;13
2020-03-07;684;403;179;5883;13
2020-03-08;847;519;225;7375;20
2020-03-09;1112;594;326;9172;25
2020-03-10;1296;782;424;10149;31
2020-03-11;1567;1147;620;12462;38
2020-03-12;2369;1586;771;15113;52
2020-03-13;3062;2219;923;17660;151
2020-03-14;3795;2978;994;21157;151
2020-03-15;4838;3212;1063;24747;162
2020-03-16;6012;4679;1146;27980;200
2020-03-17;7156;6512;1265;31506;321
2020-03-18;8198;9169;1410;35713;372
2020-03-19;10999;13663;1553;41035;621
2020-03-20;13957;20030;1733;47021;793
2020-03-21;16662;26025;1868;53578;1021
2020-03-22;18610;34944;1986;59138;1546
2020-03-23;22672;46096;2168;63927;1924
2020-03-24;27436;56714;2398;69176;2247
2020-03-25;31554;68841;2712;74386;2554
2020-03-26;36508;86662;2998;80589;2985
2020-03-27;42288;105253;3363;86498;3417
2020-03-28;48582;127417;3663;92472;3904
2020-03-29;52547;143544;3943;97689;4256
2020-03-30;57298;165698;4359;101739;4579
2020-03-31;61913;192079;4834;105792;5717
2020-04-01;67366;223254;5320;110574;6836
2020-04-02;73522;255530;5874;115242;8044
2020-04-03;79696;287931;6475;119827;9056
2020-04-04;85778;319776;6832;124632;10360
2020-04-05;91714;349016;7172;128948;11130
2020-04-06;95391;380798;7561;132547;12161
2020-04-07;99225;410834;8299;135586;14034
2020-04-08;103228;441897;8954;139422;16170
2020-04-09;108202;477507;9599;143626;18092
2020-04-10;113525;511790;10053;147577;19638
2020-04-11;117658;540714;10448;152271;20727
2020-04-12;120479;567022;10912;156363;22192
2020-04-13;123016;594165;11349;159516;23430
2020-04-14;125098;622493;11828;162488;25262
2020-04-15;127584;648390;12432;165155;28320
2020-04-16;130450;678028;13055;168941;30425
2020-04-17;133830;711135;13743;172434;33682
2020-04-18;137439;738464;14275;175925;36658
2020-04-19;139897;763886;14663;178972;38654
2020-04-20;141672;793970;15124;181228;40743
2020-04-21;143457;820045;15831;183957;43079
2020-04-22;145694;849926;16553;187327;45757
2020-04-23;148046;881891;17311;189973;50036
2020-04-24;150383;913856;18090;192994;54043
2020-04-25;152438;944770;18563;195351;59324
2020-04-26;154175;970741;18863;197675;63100
2020-04-27;155193;995391;19426;199414;67446
2020-04-28;156337;1019964;20168;201505;73235
2020-04-29;157641;1046816;20966;203591;79685
2020-04-30;159119;1076518;21601;205463;87187
2020-05-01;160758;1111410;22133;207428;92202
2020-05-02;161703;1138174;22432;209328;97100
2020-05-03;162496;1161907;22693;210717;101826
2020-05-04;163175;1185709;23169;211938;108620
2020-05-05;163860;1209729;23826;213013;115455
2020-05-06;164807;1234211;24572;214457;126611
2020-05-07;166091;1261950;25359;215858;135773
2020-05-08;167300;1289133;26059;217185;146894
2020-05-09;168551;1313587;26568;218268;156061
2020-05-10;169218;1332334;26846;219070;162699
2020-05-11;169575;1351411;27301;219814;169594
2020-05-12;170508;1374792;28055;221216;178214
2020-05-13;171306;1394807;28755;222104;190137
2020-05-14;172239;1420697;29415;223096;203165
2020-05-15;173152;1445548;30103;223885;220291
2020-05-16;173772;1469598;30461;224760;233511
2020-05-17;174355;1488327;30720;225435;241080
2020-05-18;174697;1510635;31151;225886;255368
2020-05-19;175210;1531138;31818;226699;271885
2020-05-20;176007;1553966;32626;227364;294624
2020-05-21;176752;1579118;33236;228006;312761
2020-05-22;177212;1602947;33768;228658;334568
2020-05-23;177850;1623136;34171;229327;351565
2020-05-24;178281;1643310;34381;229858;366033
2020-05-25;178570;1662404;34871;230158;378840
2020-05-26;179002;1681130;35617;230555;395167
2020-05-27;179364;1699893;36417;231139;415366
2020-05-28;179717;1721160;37191;231732;443703
2020-05-29;180458;1746242;37964;232248;470593
2020-05-30;181196;1769322;38396;232664;502914
2020-05-31;181482;1788241;38661;232997;516137
2020-06-01;181815;1806081;39309;233197;531286
2020-06-02;182028;1826171;40210;233515;562963
2020-06-03;182370;1845327;41256;233836;589048
2020-06-04;182764;1873261;42295;234013;621002
2020-06-05;183271;1899701;43441;234531;653103
2020-06-06;183678;1919970;44224;234801;676893
2020-06-07;183979;1937796;44686;234998;694881
2020-06-08;184193;1954696;45363;235278;712219
2020-06-09;184543;1975017;46299;235561;743917
2020-06-10;184861;1996735;47736;235763;777707
2020-06-11;185416;2019013;49030;236142;806399
2020-06-12;185674;2044571;50367;236305;830681
2020-06-13;186022;2068728;51409;236651;851911
2020-06-14;186269;2087629;51827;236989;868705
2020-06-15;186461;2108628;52511;237290;893322
2020-06-16;186839;2133177;53729;237500;930305
2020-06-17;187184;2160227;55186;237828;961230
2020-06-18;187764;2188454;56682;238159;986750
2020-06-19;188534;2219508;57895;238011;1042809
2020-06-20;189135;2251334;58597;238275;1106332
2020-06-21;189822;2277170;58918;238499;1086536
2020-06-22;190359;2306971;59718;238720;1114728
2020-06-23;190862;2345700;61030;238833;1154255
2020-06-24;191449;2381951;62728;239410;1195288
2020-06-25;192079;2421250;64009;239706;1236752
2020-06-26;192556;2470296;65212;239961;1281636
2020-06-27;193243;2511050;65972;240136;1318556
2020-06-28;193499;2553975;66392;240310;1351439
2020-06-29;193761;2595272;67119;240436;1372989
2020-06-30;194259;2645097;67924;240578;1412669
2020-07-01;194725;2694220;68608;240760;1459494
2020-07-02;195228;2749163;69297;240961;1503895
2020-07-03;195674;2800668;69996;241184;1546935
2020-07-04;196096;2846614;70366;241419;1580502
2020-07-05;196335;2900342;70681;241611;1605695
2020-07-06;196554;2943508;70932;241819;1630149
2020-07-07;196944;3000739;71210;241956;1676848
2020-07-08;197341;3061045;71747;242149;1722098
2020-07-09;197783;3120701;72082;242363;1765060
2020-07-10;198178;3189561;72459;242639;1809371
2020-07-11;198556;3250000;72773;242827;1844318
2020-07-12;198804;3310132;72879;243061;1867976
2020-07-13;198963;3369496;73049;243230;1890869
2020-07-14;199375;3435158;73364;243344;1933791
2020-07-15;199726;3501184;73663;243506;1973933
2020-07-16;200260;3571998;73936;243736;2017616
2020-07-17;200843;3638470;74235;243967;2052234
2020-07-18;201372;3702792;74435;244216;2077987
2020-07-19;201574;3761724;74545;244434;2101399
2020-07-20;201823;3822387;74676;244624;2124152
2020-07-21;202345;3890581;74902;244752;2171079
2020-07-22;202799;3958126;75199;245032;2237229
2020-07-23;203368;4026012;75419;245338;2294555
2020-07-24;204183;4101159;75681;245590;2351458
2020-07-25;204964;4165359;75819;245864;2398993
2020-07-26;205269;4221198;75861;246118;2421666
2020-07-27;205609;4280922;75932;246286;2449677
2020-07-28;206242;4345753;76215;246488;2503681
2020-07-29;206926;4409882;76516;246776;2559132
2020-07-30;207828;4479123;76818;247158;2617187
2020-07-31;208698;4543699;77076;247537;2670451
2020-08-01;209653;4601277;77379;247832;2711992
2020-08-02;209893;4648386;77417;248070;2736058
2020-08-03;210402;4690070;77582;248229;2756164
2020-08-04;211281;4751727;77916;248419;2812447
2020-08-05;212022;4806075;78341;248803;2868616
2020-08-06;213067;4866254;78719;249204;2922605
2020-08-07;214214;4926841;79099;249756;2972008
2020-08-08;215336;4990774;79359;250103;3018397
2020-08-09;215891;5045041;79432;250566;3041127
2020-08-10;216327;5096658;79628;250825;3067633
2020-08-11;217293;5153612;80045;251237;3118153
2020-08-12;218519;5208856;80489;251713;3173107
2020-08-13;219964;5260512;80851;252235;3233820
2020-08-14;221413;5330637;81195;252809;3283227
2020-08-15;222828;5383031;81421;253438;3320108
2020-08-16;223453;5417693;81484;253915;3343114
2020-08-17;224014;5455542;81658;254235;3367511
2020-08-18;225404;5500444;81972;254636;3416775
2020-08-19;226914;5546328;82323;255278;3465378
2020-08-20;228621;5591456;82656;256118;3508352
2020-08-21;230048;5639047;82954;257065;3540678
2020-08-22;232082;5684719;83114;258136;3586586
2020-08-23;232864;5716630;83171;259345;3608459
2020-08-24;233575;5750553;83353;260298;3631972
