doubling every two days;doubling every 4 days;doubling every 10 days;Germany;US;Sweden;Italy;Brazil;date
100.0;100.0;100.0;117.0;107.0;146.0;155.0;151.0;0
141.4213562373095;118.9207115002721;107.17734625362931;150.0;184.0;179.0;229.0;151.0;1
200.0;141.4213562373095;114.86983549970351;188.0;237.0;225.0;322.0;162.0;2
282.842712474619;168.1792830507429;123.11444133449163;240.0;403.0;326.0;453.0;200.0;3
400.0;200.0;131.9507910772894;349.0;519.0;424.0;655.0;321.0;4
565.685424949238;237.8414230005442;141.4213562373095;534.0;594.0;620.0;888.0;372.0;5
800.0;282.842712474619;151.5716566510398;684.0;782.0;771.0;1128.0;621.0;6
1131.370849898476;336.3585661014858;162.4504792712471;847.0;1147.0;923.0;1694.0;793.0;7
1600.0;400.0;174.11011265922482;1112.0;1586.0;994.0;2036.0;1021.0;8
2262.741699796952;475.6828460010884;186.60659830736148;1296.0;2219.0;1063.0;2502.0;1546.0;9
3200.0;565.685424949238;200.0;1567.0;2978.0;1146.0;3089.0;1924.0;10
4525.483399593904;672.7171322029716;214.35469250725862;2369.0;3212.0;1265.0;3858.0;2247.0;11
6400.0;800.0;229.73967099940697;3062.0;4679.0;1410.0;4636.0;2554.0;12
9050.966799187809;951.3656920021768;246.22888266898326;3795.0;6512.0;1553.0;5883.0;2985.0;13
12800.0;1131.370849898476;263.9015821545788;4838.0;9169.0;1733.0;7375.0;3417.0;14
18101.933598375617;1345.4342644059432;282.842712474619;6012.0;13663.0;1868.0;9172.0;3904.0;15
25600.0;1600.0;303.14331330207966;7156.0;20030.0;1986.0;10149.0;4256.0;16
36203.867196751235;1902.7313840043537;324.9009585424942;8198.0;26025.0;2168.0;12462.0;4579.0;17
51200.0;2262.741699796952;348.22022531844965;10999.0;34944.0;2398.0;15113.0;5717.0;18
72407.73439350247;2690.8685288118863;373.21319661472296;13957.0;46096.0;2712.0;17660.0;6836.0;19
;;;16662.0;56714.0;2998.0;21157.0;8044.0;20
;;;18610.0;68841.0;3363.0;24747.0;9056.0;21
;;;22672.0;86662.0;3663.0;27980.0;10360.0;22
;;;27436.0;105253.0;3943.0;31506.0;11130.0;23
;;;31554.0;127417.0;4359.0;35713.0;12161.0;24
;;;36508.0;143544.0;4834.0;41035.0;14034.0;25
;;;42288.0;165698.0;5320.0;47021.0;16170.0;26
;;;48582.0;192079.0;5874.0;53578.0;18092.0;27
;;;52547.0;223254.0;6475.0;59138.0;19638.0;28
;;;57298.0;255530.0;6832.0;63927.0;20727.0;29
;;;61913.0;287931.0;7172.0;69176.0;22192.0;30
;;;67366.0;319776.0;7561.0;74386.0;23430.0;31
;;;73522.0;349016.0;8299.0;80589.0;25262.0;32
;;;79696.0;380798.0;8954.0;86498.0;28320.0;33
;;;85778.0;410834.0;9599.0;92472.0;30425.0;34
;;;91714.0;441897.0;10053.0;97689.0;33682.0;35
;;;95391.0;477507.0;10448.0;101739.0;36658.0;36
;;;99225.0;511790.0;10912.0;105792.0;38654.0;37
;;;103228.0;540714.0;11349.0;110574.0;40743.0;38
;;;108202.0;567022.0;11828.0;115242.0;43079.0;39
;;;113525.0;594165.0;12432.0;119827.0;45757.0;40
;;;117658.0;622493.0;13055.0;124632.0;50036.0;41
;;;120479.0;648390.0;13743.0;128948.0;54043.0;42
